project_slug,cve_id,github_username,github_repository_name,commit,file,class,class_start,class_end,method,method_start,method_end,signature,Done
alibaba__one-java-agent_CVE-2022-25842_0.0.1,CVE-2022-25842,alibaba,one-java-agent,359603b63fc6c59d8b57e061c171954bab3433bf,one-java-agent-plugin/src/main/java/com/alibaba/oneagent/utils/IOUtils.java,IOUtils,24.0,106.0,unzip,,,"unzip(String zipFile, String extractFolder)",
apache__activemq_CVE-2014-3576_5.10.1,CVE-2014-3576,apache,activemq,f07e6a53216f9388185ac2b39f366f3bfd6a8a55,activemq-broker/src/main/java/org/apache/activemq/broker/TransportConnection.java,TransportConnection,104.0,1654.0,processControlCommand,1536.0,1538.0,Response processControlCommand(ControlCommand),
apache__activemq_CVE-2014-3600_5.10.0,CVE-2014-3600,apache,activemq,3e5ac6326db59f524a0e71f6b717428607d7b67d,activemq-broker/src/main/java/org/apache/activemq/filter/JAXPXPathEvaluator.java,JAXPXPathEvaluator,32.0,80.0,evaluate,61.0,66.0,boolean evaluate(byte),
apache__activemq_CVE-2014-3600_5.10.0,CVE-2014-3600,apache,activemq,3e5ac6326db59f524a0e71f6b717428607d7b67d,activemq-broker/src/main/java/org/apache/activemq/filter/JAXPXPathEvaluator.java,JAXPXPathEvaluator,32.0,80.0,toString,80.0,81.0,String toString(),
apache__activemq_CVE-2014-3600_5.10.0,CVE-2014-3600,apache,activemq,3e5ac6326db59f524a0e71f6b717428607d7b67d,activemq-broker/src/main/java/org/apache/activemq/filter/JAXPXPathEvaluator.java,JAXPXPathEvaluator,32.0,80.0,evaluate,48.0,58.0,boolean evaluate(Message),
apache__activemq_CVE-2014-3600_5.10.0,CVE-2014-3600,apache,activemq,3e5ac6326db59f524a0e71f6b717428607d7b67d,activemq-client/src/main/java/org/apache/activemq/filter/XPathExpression.java,XPathExpression,33.0,116.0,evaluate,95.0,102.0,Object evaluate(MessageEvaluationContext),
apache__activemq_CVE-2014-3600_5.10.0,CVE-2014-3600,apache,activemq,3e5ac6326db59f524a0e71f6b717428607d7b67d,activemq-client/src/main/java/org/apache/activemq/filter/XPathExpression.java,XPathExpression,33.0,116.0,getXPathEvaluatorConstructor,73.0,78.0,Constructor getXPathEvaluatorConstructor(String),
apache__activemq_CVE-2018-11775_5.15.5,CVE-2018-11775,apache,activemq,02971a40e281713a8397d3a1809c164b594abfbb,activemq-amqp/src/test/java/org/apache/activemq/transport/amqp/AmqpTestSupport.java,AmqpTestSupport,61.0,462.0,addTranportConnectors,169.0,247.0,void addTranportConnectors(),
apache__activemq_CVE-2018-11775_5.15.5,CVE-2018-11775,apache,activemq,02971a40e281713a8397d3a1809c164b594abfbb,activemq-client/src/main/java/org/apache/activemq/transport/tcp/SslTransport.java,SslTransport,47.0,175.0,initialiseSocket,82.0,109.0,void initialiseSocket(Socket),
apache__activemq_CVE-2018-11775_5.15.5,CVE-2018-11775,apache,activemq,02971a40e281713a8397d3a1809c164b594abfbb,activemq-client/src/main/java/org/apache/activemq/transport/tcp/TcpTransportServer.java,TcpTransportServer,69.0,724.0,configureServerSocket,163.0,200.0,void configureServerSocket(ServerSocket),
apache__activemq_CVE-2018-11775_5.15.5,CVE-2018-11775,apache,activemq,02971a40e281713a8397d3a1809c164b594abfbb,activemq-unit-tests/src/test/java/org/apache/activemq/bugs/AMQ6599Test.java,AMQ6599Test,39.0,94.0,before,69.0,80.0,void before(),
apache__activemq_CVE-2018-11775_5.15.5,CVE-2018-11775,apache,activemq,02971a40e281713a8397d3a1809c164b594abfbb,activemq-unit-tests/src/test/java/org/apache/activemq/network/NetworkReconnectSslNioTest.java,NetworkReconnectSslNioTest,36.0,41.0,testForceReconnect,41.0,100.0,void testForceReconnect(),
apache__activemq_CVE-2018-11775_5.15.5,CVE-2018-11775,apache,activemq,02971a40e281713a8397d3a1809c164b594abfbb,activemq-unit-tests/src/test/java/org/apache/activemq/transport/auto/AutoSslAuthTest.java,AutoSslAuthTest,44.0,127.0,testConnect,127.0,139.0,void testConnect(),
apache__activemq_CVE-2018-11775_5.15.5,CVE-2018-11775,apache,activemq,02971a40e281713a8397d3a1809c164b594abfbb,activemq-unit-tests/src/test/java/org/apache/activemq/transport/auto/AutoSslAuthTest.java,AutoSslAuthTest,44.0,127.0,before,74.0,108.0,"void before(Broker,ConnectionContext,ConnectionInfo)",
apache__activemq_CVE-2018-11775_5.15.5,CVE-2018-11775,apache,activemq,02971a40e281713a8397d3a1809c164b594abfbb,activemq-unit-tests/src/test/java/org/apache/activemq/transport/auto/AutoTransportConnectionsTest.java,AutoTransportConnectionsTest,49.0,171.0,configureConnectorAndStart,105.0,115.0,void configureConnectorAndStart(String),
apache__activemq_CVE-2018-11775_5.15.5,CVE-2018-11775,apache,activemq,02971a40e281713a8397d3a1809c164b594abfbb,activemq-unit-tests/src/test/java/org/apache/activemq/transport/nio/NIOSSLBasicTest.java,NIOSSLBasicTest,38.0,133.0,verifyHostNameError,104.0,111.0,void verifyHostNameError(),
apache__activemq_CVE-2018-11775_5.15.5,CVE-2018-11775,apache,activemq,02971a40e281713a8397d3a1809c164b594abfbb,activemq-unit-tests/src/test/java/org/apache/activemq/transport/nio/NIOSSLBasicTest.java,NIOSSLBasicTest,38.0,133.0,basicSendReceive,117.0,130.0,void basicSendReceive(String),
apache__activemq_CVE-2018-11775_5.15.5,CVE-2018-11775,apache,activemq,02971a40e281713a8397d3a1809c164b594abfbb,activemq-unit-tests/src/test/java/org/apache/activemq/transport/nio/NIOSSLLoadTest.java,NIOSSLLoadTest,45.0,171.0,setUp,66.0,84.0,void setUp(),
apache__activemq_CVE-2018-11775_5.15.5,CVE-2018-11775,apache,activemq,02971a40e281713a8397d3a1809c164b594abfbb,activemq-unit-tests/src/test/java/org/apache/activemq/transport/nio/NIOSSLWindowSizeTest.java,NIOSSLWindowSizeTest,32.0,93.0,testLargePayload,93.0,110.0,void testLargePayload(),
apache__activemq_CVE-2018-11775_5.15.5,CVE-2018-11775,apache,activemq,02971a40e281713a8397d3a1809c164b594abfbb,activemq-unit-tests/src/test/java/org/apache/activemq/transport/nio/NIOSSLWindowSizeTest.java,NIOSSLWindowSizeTest,32.0,93.0,setUp,51.0,75.0,void setUp(),
apache__activemq_CVE-2018-11775_5.15.5,CVE-2018-11775,apache,activemq,bde7097fb8173cf871827df7811b3865679b963d,activemq-amqp/src/test/java/org/apache/activemq/transport/amqp/AmqpTestSupport.java,AmqpTestSupport,61.0,462.0,addTranportConnectors,169.0,247.0,void addTranportConnectors(),
apache__activemq_CVE-2018-11775_5.15.5,CVE-2018-11775,apache,activemq,bde7097fb8173cf871827df7811b3865679b963d,activemq-broker/src/main/java/org/apache/activemq/transport/nio/AutoInitNioSSLTransport.java,AutoInitNioSSLTransport,44.0,218.0,initializeStreams,64.0,129.0,void initializeStreams(),
apache__activemq_CVE-2018-11775_5.15.5,CVE-2018-11775,apache,activemq,bde7097fb8173cf871827df7811b3865679b963d,activemq-client/src/main/java/org/apache/activemq/transport/nio/NIOSSLTransport.java,NIOSSLTransport,51.0,543.0,initializeStreams,90.0,188.0,"void initializeStreams(SelectorSelection,SelectorSelection,Throwable)",
